"","Distrito","mean_pred","mean_ll","pred_ul","SE"
"1","Distrito Centro",13.7977195664432,13.6051928897013,13.9899226799945,"201428"
"2","Distrito Norte",13.4179580651302,13.2228435376206,13.6128294236846,"201428"
"3","Distrito Sul",13.9483479193736,13.7571932685887,14.1393339255436,"201428"
"4","Distrito Centro",9.99110986706686,9.8077811639902,10.1745135428211,"201528"
"5","Distrito Norte",9.71645220370458,9.53065537578571,9.90237117321491,"201528"
"6","Distrito Sul",10.0938849009671,9.91176082767592,10.2761492054738,"201528"
"7","Distrito Centro",7.55327595448699,7.37037205133788,7.73688708923761,"201628"
"8","Distrito Norte",7.42528472718998,7.2400355334309,7.61028963500135,"201628"
"9","Distrito Sul",7.97219505458814,7.79053631044855,8.15453880962017,"201628"
"10","Distrito Centro",14.2128927163056,14.0304555482328,14.3953926440722,"201728"
"11","Distrito Norte",14.1479591752159,13.962889614683,14.3327049523373,"201728"
"12","Distrito Sul",14.4927007177189,14.3113439489248,14.6740293998707,"201728"
"13","Distrito Centro",7.1487753943303,6.96578769108073,7.33138138279299,"201828"
"14","Distrito Norte",6.83582133234794,6.65084752890139,7.02054698929877,"201828"
"15","Distrito Sul",7.66323277351014,7.48158635413757,7.84459191065586,"201828"
"16","Distrito Centro",4.48598858673442,4.30355897208558,4.66885139846911,"201928"
"17","Distrito Norte",3.94498209320053,3.7601133688859,4.12977427242065,"201928"
"18","Distrito Sul",4.94394856018186,4.76267892478954,5.12539749726944,"201928"
"19","Distrito Centro",7.88974736744072,7.70737815802377,8.07245762581541,"202028"
"20","Distrito Norte",7.50948981286231,7.32451418105447,7.69482166015381,"202028"
"21","Distrito Sul",8.24531264577655,8.06409872301714,8.42674841745618,"202028"
"22","Distrito Centro",12.7931573161293,12.6096752960426,12.976033383046,"202128"
"23","Distrito Norte",12.6286534434041,12.4433449366469,12.8134770211489,"202128"
"24","Distrito Sul",12.906075501064,12.7243874713778,13.0874618277242,"202128"
"25","Distrito Centro",13.6006924775926,13.4181383254604,13.7837126895787,"202228"
"26","Distrito Norte",13.906961798632,13.7219736945491,14.0918070560127,"202228"
"27","Distrito Sul",13.6868203378768,13.5053962557727,13.8687124500518,"202228"
"28","Distrito Centro",9.89811386625408,9.71556427461713,10.0810789146739,"202328"
"29","Distrito Norte",9.55469052546041,9.36972662646279,9.73966909724484,"202328"
"30","Distrito Sul",10.3572867415621,10.1759373145188,10.5389621103057,"202328"
"31","Distrito Centro",11.4043656058531,11.2202304871169,11.5879819619184,"202428"
"32","Distrito Norte",11.1498884268084,10.9640563679813,11.3356924995122,"202428"
"33","Distrito Sul",11.6180549318189,11.4353806460016,11.800352223712,"202428"
